,algorithm,machine,psize,model,crossValid,-2l,AIC,CAIC,BIC,HQIC,infTime.mean,param_s,param_m,param_f
0,dijkstra,lasdpc,10M,E.Weibull,-327.404914757676,-1640.6351664057001,-1634.6351664057001,-1634.61107002016,-1629.0392980022,-1619.91190056875,0.259259259259798,0.720378891014841,0.0590131582786103,4.12942901782652
1,dijkstra,halley,500K,E.Weibull,-1786.59988137543,-8932.99940687716,-8926.99940687716,-8926.97531049162,-8921.40353847367,-8912.27614104022,0.221629629631126,0.74453831344877,0.00209248449387463,2.95663840295846
2,dijkstra,halley,10M,E.Weibull,-778.838054349767,-3929.9014831631102,-3923.9014831631102,-3923.8773867775603,-3918.30561475961,-3909.1782173261604,0.303740740740775,1.06536237180322,0.0345123460771529,8.39286997884062
3,dijkstra,andromeda,500K,E.Weibull,-1824.1082747910102,-9121.25398928059,-9115.25398928059,-9115.22989289505,-9109.6581208771,-9100.53072344365,0.24785185185276198,3.76318663807416,0.0113414491912321,1.90378287213847
4,sqldbHD,andromeda,1500,E.Weibull,621.9600443726409,2969.31515839666,2975.31515839666,2975.3392547821995,2980.91102680016,2990.0384242336104,0.0678888888915363,1.16993100771603,1.32671015231446,11.9830571569453
5,mandelbrot,lasdpc,30000,E.Weibull,-2062.05815286727,-10310.2907643364,-10304.2907643364,-10304.2666679508,-10298.6948959329,-10289.5674984994,0.14370370370333702,2.4801866867855,0.00385330675415995,0.625294091458343
6,mandelbrot,lasdpc,10000,E.Weibull,-2144.95160127592,-10724.7580063796,-10718.7580063796,-10718.7339099941,-10713.1621379761,-10704.0347405427,0.273333333332428,2.77208701683214,0.00338629331098833,0.600034889243108
7,sqldbHD,andromeda,100,E.Weibull,47.0115388931168,221.019522831381,227.019522831381,227.043619216923,232.61539123487702,241.742788668327,0.0759629629626741,3.30513342592827,0.985585722378058,1.39951125278382
8,sqldbHD,lasdpc,1500,E.Weibull,217.030200244641,-264.597480016748,-258.597480016748,-258.573383631206,-253.001611613251,-243.874214179801,0.310111111109749,7.26984026239975,1.210167901028,0.691869258371815
9,sqldbHD,andromeda,300,E.Weibull,215.576382718836,1048.04388313295,1054.04388313295,1054.06797951849,1059.6397515364501,1068.7671489699,0.0609629629643341,2.71301775477985,1.31921803874073,1.90530436740042
10,sqldbHD,halley,1500,E.Weibull,893.153130550004,3611.8031771914502,3617.8031771914502,3617.8272735769897,3623.39904559495,3632.5264430284,0.0527407407401673,1.48536143604909,2.6149233833638,4.47557368584229
11,dijkstra,lasdpc,2M,E.Weibull,-1601.33211470625,-8007.1042350128,-8001.1042350128,-8001.08013862726,-7995.5083666093005,-7986.38096917585,0.22692592592459399,1.01887423227638,0.00514727458851508,1.99613664583592
12,mandelbrot,andromeda,30000,E.Weibull,-1738.04666913443,-8690.23334567215,-8684.23334567215,-8684.209249286609,-8678.63747726865,-8669.5100798352,0.23992592592441297,2.20090413314638,0.00794023071409547,1.48632237095986
13,mandelbrot,lasdpc,5000,E.Weibull,-2160.49122557372,-10787.8142138527,-10781.8142138527,-10781.7901174672,-10776.2183454492,-10767.090948015799,0.25522222222234303,2.93275216713918,0.00334407470696899,0.595015520935269
14,mandelbrot,halley,30000,E.Weibull,-1659.3623320665802,-8336.30669840908,-8330.30669840908,-8330.28260202354,-8324.71083000558,-8315.58343257213,0.24629629629608102,4.91334400536944,0.0156459058041291,0.722391696933953
15,sqldbHD,andromeda,150,E.Weibull,192.07207490349097,784.862948187439,790.862948187439,790.8870445729809,796.458816590935,805.5862140243851,0.058703703701785,2.15230950776131,0.889546316223655,1.5314152715396
16,sqldbSSD,halley,100,E.Weibull,-1249.22861322585,-6266.985048693299,-6260.985048693299,-6260.960952307751,-6255.3891802898,-6246.26178285635,0.13151851851930801,1.76363721050879,0.0218922320774346,2.00385021393104
17,dijkstra,lasdpc,1M,E.Weibull,-1725.48507197706,-8629.26954023833,-8623.26954023833,-8623.245443852791,-8617.67367183483,-8608.54627440138,0.24285185185295605,1.1419905957339,0.00441682892712632,1.85507780759038
18,sqldbHD,halley,300,E.Weibull,301.323251727583,1484.4976412697101,1490.4976412697101,1490.52173765525,1496.0935096732,1505.22090710665,0.0591111111107576,2.81068796347455,1.61816054359084,1.50652682581448
19,mandelbrot,andromeda,10000,E.Weibull,-1780.22333832174,-8901.55176703056,-8895.55176703056,-8895.52767064502,-8889.95589862707,-8880.82850119362,0.212740740739887,1.67838641657573,0.00561106828033664,2.39664863082344
20,dijkstra,andromeda,10M,E.Weibull,-735.116898726408,-3778.49861339197,-3772.49861339197,-3772.4745170064293,-3766.9027449884798,-3757.77534755503,0.21344444444629398,2.99923050893168,0.161952433682908,4.62849385449801
21,mandelbrot,andromeda,5000,E.Weibull,-1816.53829011929,-9085.69024152909,-9079.69024152909,-9079.66614514355,-9074.094373125601,-9064.966975692141,0.240444444443845,2.03796964913613,0.00603255590903068,1.53908186200207
22,sqldbHD,lasdpc,100,E.Weibull,-808.384655778022,-4066.4049581875606,-4060.4049581875606,-4060.38086180201,-4054.8090897840602,-4045.6816923506103,0.126851851853577,4.7866090386908,0.131293141424595,0.737316410797854
23,sqldbSSD,halley,1500,E.Weibull,-273.333784266718,-1370.7444617357,-1364.7444617357,-1364.72036535016,-1359.1485933322099,-1350.02119589876,0.20162962963028502,0.488071186024058,0.00883511302105611,147.703888172244
24,sqldbHD,halley,100,E.Weibull,92.43352768061341,454.34054378092696,460.34054378092696,460.364640166469,465.936412184423,475.063809617873,0.0679999999987626,2.30107284936606,0.792699929275481,1.40714729954497
25,sqldbSSD,halley,150,E.Weibull,-1117.65526664508,-5595.14170880786,-5589.14170880786,-5589.11761242232,-5583.54584040437,-5574.41844297092,0.123444444447631,1.96782383372462,0.0355530263379382,2.65956767172025
26,dijkstra,lasdpc,500K,E.Weibull,-1730.83370546945,-8654.16852734727,-8648.16852734727,-8648.144430961729,-8642.57265894378,-8633.44526151033,0.241333333331298,0.870911185510429,0.00266926925924635,3.46238440889395
27,mandelbrot,halley,5000,E.Weibull,-2141.3056813698604,-10706.5284068493,-10700.5284068493,-10700.5043104638,-10694.932538445799,-10685.8051410124,0.256888888888406,1.48137572061742,0.00215023872871029,3.3461556242173
28,dijkstra,halley,1M,E.Weibull,-1554.1843254426901,-7772.38479165899,-7766.38479165899,-7766.360695273441,-7760.788923255491,-7751.661525822041,0.251592592592243,1.01444244372545,0.00571257871012646,1.99346837358331
29,sqldbHD,lasdpc,300,E.Weibull,-351.02864634363294,-1776.9193406852899,-1770.9193406852899,-1770.89524429975,-1765.3234722818,-1756.19607484835,0.10233333333410499,4.52951139450291,0.4093471654984,0.818266738427891
30,sqldbHD,lasdpc,150,E.Weibull,-627.5227494216649,-3144.92398586698,-3138.92398586698,-3138.89988948144,-3133.3281174634803,-3124.20072003003,0.18811111110995601,6.28127627109284,0.220437405559092,0.484843129442496
31,dijkstra,andromeda,1M,E.Weibull,-1681.64063807594,-8418.379392195551,-8412.379392195551,-8412.35529581001,-8406.78352379205,-8397.656126358599,0.236814814814823,3.35169488541927,0.0159097277126437,2.79678607026706
32,mandelbrot,halley,10000,E.Weibull,-1966.4546647741897,-9832.273323870959,-9826.273323870959,-9826.24922748542,-9820.67745546747,-9811.55005803402,0.282333333333588,2.05147520823713,0.00423706088356222,1.89075705651181
33,sqldbSSD,halley,300,E.Weibull,-769.4819017301489,-3983.0477189784497,-3977.0477189784497,-3977.0236225928998,-3971.4518505749497,-3962.3244531415003,0.19992592592758202,0.567604678600793,0.00572517020400985,45.1716068598579
34,sqldbHD,halley,150,E.Weibull,197.669124167332,970.013841971771,976.013841971771,976.0379383573129,981.609710375267,990.737107808717,0.0644444444430216,2.12407206331324,0.970940497513773,1.6637549914754
35,dijkstra,andromeda,2M,E.Weibull,-1497.48243419496,-7510.4387039636795,-7504.4387039636795,-7504.41460757813,-7498.842835560179,-7489.71543812673,0.22748148148012803,4.23278997623895,0.0325728821809961,2.80655668971974
36,dijkstra,halley,2M,E.Weibull,-1480.64419374136,-7407.07529616636,-7401.07529616636,-7401.051199780821,-7395.479427762859,-7386.352030329409,0.294814814815052,0.994851966069529,0.00633828615266218,2.39334570037331
